Carpark Code,Available Spaces,Carpark Open,Timestamp
MINDENPL,50,True,02-05 04:06:34
PATRIOTICST,338,True,02-05 04:06:34
SANDST,438,True,02-05 04:06:34
PIERRD,712,True,02-05 04:06:34
TEST,100,True,02-05 04:06:34
LESJARDIN,458,True,02-05 04:06:34
TEST,100,True,02-05 04:11:38
GREENST,312,True,02-05 04:11:38
MINDENPL,50,True,02-05 04:11:38
PATRIOTICST,337,True,02-05 04:11:38
SANDST,438,True,02-05 04:11:38
PIERRD,712,True,02-05 04:11:38
LESJARDIN,458,True,02-05 04:11:38
GREENST,312,True,02-05 04:16:40
MINDENPL,50,True,02-05 04:16:40
PATRIOTICST,337,True,02-05 04:16:40
SANDST,438,True,02-05 04:16:40
PIERRD,712,True,02-05 04:16:40
TEST,100,True,02-05 04:16:40
LESJARDIN,458,True,02-05 04:16:40
GREENST,312,True,02-05 04:21:42
MINDENPL,50,True,02-05 04:21:42
PATRIOTICST,337,True,02-05 04:21:42
SANDST,437,True,02-05 04:21:42
PIERRD,712,True,02-05 04:21:42
TEST,100,True,02-05 04:21:42
LESJARDIN,458,True,02-05 04:21:42
GREENST,312,True,02-05 04:26:46
MINDENPL,50,True,02-05 04:26:46
PATRIOTICST,337,True,02-05 04:26:46
SANDST,437,True,02-05 04:26:46
PIERRD,712,True,02-05 04:26:46
LESJARDIN,458,True,02-05 04:26:46
TEST,100,True,02-05 04:26:46
GREENST,311,True,02-05 04:31:48
MINDENPL,50,True,02-05 04:31:48
PATRIOTICST,337,True,02-05 04:31:48
SANDST,438,True,02-05 04:31:48
PIERRD,712,True,02-05 04:31:48
LESJARDIN,458,True,02-05 04:31:48
TEST,100,True,02-05 04:31:48
GREENST,311,True,02-05 04:36:51
MINDENPL,50,True,02-05 04:36:51
PATRIOTICST,337,True,02-05 04:36:51
SANDST,438,True,02-05 04:36:51
PIERRD,712,True,02-05 04:36:51
LESJARDIN,458,True,02-05 04:36:51
TEST,100,True,02-05 04:36:51
GREENST,311,True,02-05 04:41:54
MINDENPL,50,True,02-05 04:41:54
PATRIOTICST,337,True,02-05 04:41:54
SANDST,438,True,02-05 04:41:54
PIERRD,712,True,02-05 04:41:54
LESJARDIN,457,True,02-05 04:41:54
TEST,100,True,02-05 04:41:54
GREENST,311,True,02-05 04:46:36
MINDENPL,50,True,02-05 04:46:36
PATRIOTICST,337,True,02-05 04:46:36
SANDST,439,True,02-05 04:46:36
PIERRD,712,True,02-05 04:46:36
TEST,100,True,02-05 04:46:36
LESJARDIN,457,True,02-05 04:46:36
GREENST,313,True,02-05 04:51:58
MINDENPL,49,True,02-05 04:51:58
PATRIOTICST,336,True,02-05 04:51:58
SANDST,439,True,02-05 04:51:58
PIERRD,712,True,02-05 04:51:58
TEST,100,True,02-05 04:51:58
LESJARDIN,458,True,02-05 04:51:58
GREENST,313,True,02-05 04:56:41
MINDENPL,49,True,02-05 04:56:41
PATRIOTICST,336,True,02-05 04:56:41
SANDST,439,True,02-05 04:56:41
PIERRD,713,True,02-05 04:56:41
TEST,100,True,02-05 04:56:41
LESJARDIN,458,True,02-05 04:56:41
GREENST,313,True,02-05 05:01:44
MINDENPL,49,True,02-05 05:01:44
PATRIOTICST,337,True,02-05 05:01:44
SANDST,440,True,02-05 05:01:44
PIERRD,713,True,02-05 05:01:44
LESJARDIN,458,True,02-05 05:01:44
TEST,100,True,02-05 05:01:44
GREENST,314,True,02-05 05:06:50
MINDENPL,49,True,02-05 05:06:50
PATRIOTICST,337,True,02-05 05:06:50
SANDST,440,True,02-05 05:06:50
PIERRD,713,True,02-05 05:06:50
LESJARDIN,458,True,02-05 05:06:50
TEST,100,True,02-05 05:06:50
GREENST,314,True,02-05 05:11:43
MINDENPL,49,True,02-05 05:11:43
PATRIOTICST,337,True,02-05 05:11:43
SANDST,440,True,02-05 05:11:43
PIERRD,713,True,02-05 05:11:43
TEST,100,True,02-05 05:11:43
LESJARDIN,458,True,02-05 05:11:43
GREENST,314,True,02-05 05:16:36
MINDENPL,49,True,02-05 05:16:36
PATRIOTICST,338,True,02-05 05:16:36
SANDST,442,True,02-05 05:16:36
PIERRD,713,True,02-05 05:16:36
TEST,100,True,02-05 05:16:36
LESJARDIN,458,True,02-05 05:16:36
GREENST,314,True,02-05 05:21:59
MINDENPL,49,True,02-05 05:21:59
PATRIOTICST,338,True,02-05 05:21:59
SANDST,442,True,02-05 05:21:59
PIERRD,713,True,02-05 05:21:59
TEST,100,True,02-05 05:21:59
LESJARDIN,458,True,02-05 05:21:59
GREENST,313,True,02-05 05:27:01
MINDENPL,51,True,02-05 05:27:01
PATRIOTICST,338,True,02-05 05:27:01
SANDST,442,True,02-05 05:27:01
PIERRD,713,True,02-05 05:27:01
TEST,100,True,02-05 05:27:01
LESJARDIN,458,True,02-05 05:27:01
GREENST,314,True,02-05 05:31:44
MINDENPL,50,True,02-05 05:31:44
PATRIOTICST,338,True,02-05 05:31:44
SANDST,442,True,02-05 05:31:44
PIERRD,713,True,02-05 05:31:44
LESJARDIN,458,True,02-05 05:31:44
TEST,100,True,02-05 05:31:44
GREENST,314,True,02-05 05:36:59
MINDENPL,50,True,02-05 05:36:59
PATRIOTICST,338,True,02-05 05:36:59
SANDST,443,True,02-05 05:36:59
PIERRD,713,True,02-05 05:36:59
TEST,100,True,02-05 05:36:59
LESJARDIN,458,True,02-05 05:36:59
GREENST,314,True,02-05 05:42:00
MINDENPL,51,True,02-05 05:42:00
PATRIOTICST,338,True,02-05 05:42:00
SANDST,443,True,02-05 05:42:00
PIERRD,713,True,02-05 05:42:00
TEST,100,True,02-05 05:42:00
LESJARDIN,457,True,02-05 05:42:00
GREENST,315,True,02-05 05:47:03
MINDENPL,51,True,02-05 05:47:03
PATRIOTICST,337,True,02-05 05:47:03
SANDST,444,True,02-05 05:47:03
PIERRD,713,True,02-05 05:47:03
TEST,100,True,02-05 05:47:03
LESJARDIN,455,True,02-05 05:47:03
GREENST,314,True,02-05 05:51:35
MINDENPL,53,True,02-05 05:51:35
PATRIOTICST,338,True,02-05 05:51:35
SANDST,443,True,02-05 05:51:35
PIERRD,713,True,02-05 05:51:35
TEST,100,True,02-05 05:51:35
LESJARDIN,453,True,02-05 05:51:35
GREENST,311,True,02-05 05:56:58
MINDENPL,53,True,02-05 05:56:58
PATRIOTICST,337,True,02-05 05:56:58
SANDST,440,True,02-05 05:56:58
PIERRD,713,True,02-05 05:56:58
TEST,100,True,02-05 05:56:58
LESJARDIN,451,True,02-05 05:56:58
GREENST,308,True,02-05 06:02:01
MINDENPL,52,True,02-05 06:02:01
PATRIOTICST,336,True,02-05 06:02:01
SANDST,436,True,02-05 06:02:01
PIERRD,713,True,02-05 06:02:01
TEST,100,True,02-05 06:02:01
LESJARDIN,446,True,02-05 06:02:01
GREENST,306,True,02-05 06:07:04
MINDENPL,52,True,02-05 06:07:04
PATRIOTICST,335,True,02-05 06:07:04
SANDST,435,True,02-05 06:07:04
PIERRD,713,True,02-05 06:07:04
TEST,100,True,02-05 06:07:04
LESJARDIN,442,True,02-05 06:07:04
GREENST,301,True,02-05 06:12:02
MINDENPL,54,True,02-05 06:12:02
PATRIOTICST,336,True,02-05 06:12:02
SANDST,431,True,02-05 06:12:02
PIERRD,712,True,02-05 06:12:02
TEST,100,True,02-05 06:12:02
LESJARDIN,442,True,02-05 06:12:02
GREENST,298,True,02-05 06:17:05
MINDENPL,56,True,02-05 06:17:05
PATRIOTICST,335,True,02-05 06:17:05
SANDST,431,True,02-05 06:17:05
PIERRD,712,True,02-05 06:17:05
TEST,100,True,02-05 06:17:05
LESJARDIN,441,True,02-05 06:17:05
GREENST,300,True,02-05 06:22:08
MINDENPL,56,True,02-05 06:22:08
PATRIOTICST,334,True,02-05 06:22:08
SANDST,433,True,02-05 06:22:08
PIERRD,712,True,02-05 06:22:08
LESJARDIN,437,True,02-05 06:22:08
TEST,100,True,02-05 06:22:08
GREENST,302,True,02-05 06:27:01
MINDENPL,58,True,02-05 06:27:01
PATRIOTICST,334,True,02-05 06:27:01
SANDST,431,True,02-05 06:27:01
PIERRD,711,True,02-05 06:27:01
TEST,100,True,02-05 06:27:01
LESJARDIN,436,True,02-05 06:27:01
GREENST,303,True,02-05 06:32:04
MINDENPL,62,True,02-05 06:32:04
PATRIOTICST,333,True,02-05 06:32:04
SANDST,429,True,02-05 06:32:04
PIERRD,709,True,02-05 06:32:04
TEST,100,True,02-05 06:32:04
LESJARDIN,434,True,02-05 06:32:04
GREENST,304,True,02-05 06:37:07
MINDENPL,69,True,02-05 06:37:07
PATRIOTICST,331,True,02-05 06:37:07
SANDST,429,True,02-05 06:37:07
PIERRD,709,True,02-05 06:37:07
TEST,100,True,02-05 06:37:07
LESJARDIN,432,True,02-05 06:37:07
GREENST,311,True,02-05 06:42:01
MINDENPL,72,True,02-05 06:42:01
PATRIOTICST,332,True,02-05 06:42:01
SANDST,430,True,02-05 06:42:01
PIERRD,709,True,02-05 06:42:01
TEST,100,True,02-05 06:42:01
LESJARDIN,432,True,02-05 06:42:01
GREENST,310,True,02-05 06:47:00
MINDENPL,74,True,02-05 06:47:00
PATRIOTICST,328,True,02-05 06:47:00
SANDST,429,True,02-05 06:47:00
PIERRD,709,True,02-05 06:47:00
TEST,100,True,02-05 06:47:00
LESJARDIN,432,True,02-05 06:47:00
GREENST,304,True,02-05 06:52:03
MINDENPL,78,True,02-05 06:52:03
PATRIOTICST,325,True,02-05 06:52:03
SANDST,427,True,02-05 06:52:03
PIERRD,710,True,02-05 06:52:03
TEST,100,True,02-05 06:52:03
LESJARDIN,426,True,02-05 06:52:03
GREENST,305,True,02-05 06:57:02
MINDENPL,80,True,02-05 06:57:02
PATRIOTICST,326,True,02-05 06:57:02
SANDST,433,True,02-05 06:57:02
PIERRD,707,True,02-05 06:57:02
TEST,100,True,02-05 06:57:02
LESJARDIN,425,True,02-05 06:57:02
GREENST,309,True,02-05 07:02:06
MINDENPL,84,True,02-05 07:02:06
PATRIOTICST,318,True,02-05 07:02:06
SANDST,431,True,02-05 07:02:06
PIERRD,706,True,02-05 07:02:06
TEST,100,True,02-05 07:02:06
LESJARDIN,421,True,02-05 07:02:06
GREENST,310,True,02-05 07:06:59
MINDENPL,89,True,02-05 07:06:59
PATRIOTICST,305,True,02-05 07:06:59
SANDST,430,True,02-05 07:06:59
PIERRD,705,True,02-05 07:06:59
TEST,100,True,02-05 07:06:59
LESJARDIN,423,True,02-05 07:06:59
GREENST,307,True,02-05 07:12:03
MINDENPL,98,True,02-05 07:12:03
PATRIOTICST,299,True,02-05 07:12:03
SANDST,433,True,02-05 07:12:03
PIERRD,703,True,02-05 07:12:03
TEST,100,True,02-05 07:12:03
LESJARDIN,419,True,02-05 07:12:03
GREENST,307,True,02-05 07:17:02
MINDENPL,104,True,02-05 07:17:02
PATRIOTICST,288,True,02-05 07:17:02
SANDST,434,True,02-05 07:17:02
PIERRD,699,True,02-05 07:17:02
TEST,100,True,02-05 07:17:02
LESJARDIN,423,True,02-05 07:17:02
GREENST,314,True,02-05 07:22:05
MINDENPL,108,True,02-05 07:22:05
PATRIOTICST,271,True,02-05 07:22:05
SANDST,436,True,02-05 07:22:05
PIERRD,691,True,02-05 07:22:05
TEST,100,True,02-05 07:22:05
LESJARDIN,424,True,02-05 07:22:05
GREENST,313,True,02-05 07:27:14
MINDENPL,108,True,02-05 07:27:14
PATRIOTICST,259,True,02-05 07:27:14
SANDST,434,True,02-05 07:27:14
PIERRD,686,True,02-05 07:27:14
LESJARDIN,407,True,02-05 07:27:14
TEST,100,True,02-05 07:27:14
GREENST,303,True,02-05 07:32:07
MINDENPL,116,True,02-05 07:32:07
PATRIOTICST,240,True,02-05 07:32:07
SANDST,434,True,02-05 07:32:07
PIERRD,679,True,02-05 07:32:07
TEST,100,True,02-05 07:32:07
LESJARDIN,394,True,02-05 07:32:07
GREENST,299,True,02-05 07:37:01
MINDENPL,123,True,02-05 07:37:01
PATRIOTICST,220,True,02-05 07:37:01
SANDST,434,True,02-05 07:37:01
PIERRD,677,True,02-05 07:37:01
TEST,100,True,02-05 07:37:01
LESJARDIN,384,True,02-05 07:37:01
GREENST,288,True,02-05 07:41:58
MINDENPL,131,True,02-05 07:41:58
PATRIOTICST,208,True,02-05 07:41:58
SANDST,432,True,02-05 07:41:58
PIERRD,664,True,02-05 07:41:58
